               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083368,            0.035179,                   0,              0.4849,               0.389,             0.37408,             0.13981,            0.049226,            0.028253,                   0,            0.066727,          3.3306e-05,          3.3306e-05
                   1,            0.057953,            0.026182,                   0,             0.85735,             0.67513,             0.75576,             0.36238,            0.037171,            0.019418,                   0,            0.033427,          6.6574e-05,          6.6574e-05
                   2,             0.04918,             0.02211,                   0,             0.89383,             0.74016,             0.82486,             0.43366,            0.032459,            0.017308,                   0,          0.00012664,          9.9775e-05,          9.9775e-05
                   3,            0.043851,            0.020255,                   0,             0.91872,             0.79229,             0.86637,             0.47967,            0.029653,            0.016176,                   0,          9.9703e-05,          9.9703e-05,          9.9703e-05
                   4,            0.040888,             0.01931,                   0,             0.92763,             0.80964,             0.88199,             0.49978,            0.028184,            0.015441,                   0,          9.9703e-05,          9.9703e-05,          9.9703e-05
                   5,             0.03922,            0.018537,                   0,             0.92769,             0.82398,             0.89118,             0.51041,            0.027194,            0.014989,                   0,          9.9604e-05,          9.9604e-05,          9.9604e-05
                   6,            0.037807,            0.017905,                   0,             0.92729,              0.8339,             0.89782,             0.52364,            0.026462,             0.01462,                   0,          9.9505e-05,          9.9505e-05,          9.9505e-05
                   7,            0.036926,            0.017674,                   0,             0.93059,             0.84071,              0.9031,             0.53157,            0.025931,            0.014344,                   0,          9.9406e-05,          9.9406e-05,          9.9406e-05
                   8,            0.036051,             0.01732,                   0,             0.93425,             0.84204,             0.90578,              0.5397,            0.025401,            0.014128,                   0,          9.9307e-05,          9.9307e-05,          9.9307e-05
                   9,            0.035416,            0.016931,                   0,             0.93562,             0.84558,             0.90922,             0.54598,            0.025042,            0.013974,                   0,          9.9208e-05,          9.9208e-05,          9.9208e-05
                  10,            0.034859,            0.016812,                   0,             0.93661,             0.84837,             0.91196,             0.55034,            0.024686,            0.013814,                   0,          9.9109e-05,          9.9109e-05,          9.9109e-05
                  11,            0.034423,            0.016723,                   0,             0.93778,             0.85188,             0.91548,             0.55588,            0.024434,            0.013686,                   0,           9.901e-05,           9.901e-05,           9.901e-05
                  12,            0.034014,            0.016441,                   0,               0.941,             0.85239,             0.91774,             0.56084,            0.024183,             0.01358,                   0,          9.8911e-05,          9.8911e-05,          9.8911e-05
                  13,            0.033463,            0.016269,                   0,             0.94174,             0.85398,             0.91942,             0.56411,            0.023978,            0.013483,                   0,          9.8812e-05,          9.8812e-05,          9.8812e-05
                  14,            0.033198,             0.01624,                   0,             0.94222,             0.85518,             0.92173,             0.56989,            0.023784,            0.013395,                   0,          9.8713e-05,          9.8713e-05,          9.8713e-05
                  15,            0.033051,            0.016344,                   0,             0.94229,             0.85603,             0.92267,              0.5732,            0.023619,            0.013331,                   0,          9.8614e-05,          9.8614e-05,          9.8614e-05
                  16,            0.032528,            0.015854,                   0,             0.94142,             0.86035,             0.92413,             0.57587,            0.023473,            0.013255,                   0,          9.8515e-05,          9.8515e-05,          9.8515e-05
                  17,            0.032345,            0.015838,                   0,             0.94003,             0.86318,             0.92523,             0.57881,            0.023327,            0.013194,                   0,          9.8416e-05,          9.8416e-05,          9.8416e-05
                  18,            0.032114,            0.015621,                   0,             0.94144,             0.86389,             0.92624,             0.58138,            0.023221,            0.013142,                   0,          9.8317e-05,          9.8317e-05,          9.8317e-05
