               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070603,            0.036229,                   0,             0.64217,              0.6644,             0.64675,             0.30031,            0.047629,             0.02294,                   0,            0.070078,           0.0033247,           0.0033247
                   1,            0.047474,            0.028326,                   0,             0.85507,             0.73012,             0.80763,             0.43618,             0.04017,            0.021465,                   0,            0.040072,           0.0066514,           0.0066514
                   2,             0.04304,            0.026786,                   0,             0.86656,             0.74423,             0.81795,             0.46287,            0.036863,            0.021231,                   0,            0.010058,           0.0099715,           0.0099715
                   3,            0.038276,            0.027051,                   0,             0.88262,             0.75711,             0.83941,             0.50151,            0.034633,            0.020551,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.034994,            0.025655,                   0,             0.87789,             0.78132,             0.85096,             0.51678,            0.032696,            0.020022,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.033807,            0.025358,                   0,             0.88429,             0.78719,             0.85867,             0.52999,            0.032233,            0.019553,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.033015,            0.024962,                   0,             0.88274,             0.79559,             0.86689,             0.54655,            0.031581,            0.019216,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.032652,            0.024865,                   0,             0.87794,             0.79285,             0.86422,             0.54721,            0.031395,            0.019203,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.032212,            0.024551,                   0,             0.87948,             0.80356,             0.86924,             0.55267,            0.031067,             0.01904,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.031888,            0.024268,                   0,             0.87079,             0.80181,             0.86685,             0.54633,            0.031121,            0.019066,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,             0.03145,            0.023871,                   0,             0.88452,             0.79574,             0.86809,             0.55559,            0.030712,            0.018836,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.031521,            0.023973,                   0,             0.87322,             0.79814,             0.87123,             0.55675,            0.030739,            0.018923,                   0,            0.009901,            0.009901,            0.009901
                  12,             0.03114,            0.023572,                   0,             0.88692,             0.79743,             0.87399,             0.55928,            0.030501,            0.018898,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.030953,            0.023234,                   0,             0.89207,             0.79707,             0.87459,             0.55891,            0.030348,            0.018843,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.030947,            0.023663,                   0,             0.89013,             0.80446,             0.87758,             0.56445,            0.030382,            0.018776,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.030641,            0.023311,                   0,             0.88446,              0.8106,             0.88029,             0.56187,            0.030323,            0.018623,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.030585,            0.023665,                   0,             0.88414,             0.81359,             0.88032,             0.56533,            0.029995,            0.018463,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.030416,            0.023354,                   0,             0.86947,             0.81926,             0.87878,             0.56162,            0.030107,            0.018522,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,            0.030648,             0.02349,                   0,             0.88782,              0.8118,             0.88042,             0.56857,            0.029911,            0.018523,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.030212,            0.023086,                   0,             0.89339,             0.80768,             0.88118,             0.56919,            0.030078,            0.018514,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.030203,            0.022959,                   0,             0.88133,             0.81245,             0.88026,             0.56977,            0.029703,            0.018478,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,            0.029953,             0.02294,                   0,             0.89048,             0.80954,             0.88413,             0.57376,            0.029632,             0.01828,                   0,            0.009802,            0.009802,            0.009802
                  22,            0.030119,            0.023124,                   0,             0.88937,             0.81482,             0.88354,             0.57103,            0.029672,            0.018271,                   0,           0.0097921,           0.0097921,           0.0097921
                  23,            0.029869,            0.022933,                   0,             0.89532,             0.80964,             0.88365,             0.57468,            0.029581,            0.018311,                   0,           0.0097822,           0.0097822,           0.0097822
                  24,            0.029825,            0.022901,                   0,             0.88997,             0.81294,             0.88817,             0.57679,            0.029557,            0.018151,                   0,           0.0097723,           0.0097723,           0.0097723
                  25,            0.029873,            0.023108,                   0,             0.88748,             0.81731,             0.88524,             0.57486,            0.029469,            0.018202,                   0,           0.0097624,           0.0097624,           0.0097624
                  26,              0.0298,            0.022856,                   0,             0.88222,             0.82035,             0.88485,             0.57713,            0.029442,            0.018304,                   0,           0.0097525,           0.0097525,           0.0097525
                  27,            0.029843,            0.022908,                   0,              0.8871,             0.81953,             0.88525,             0.57725,            0.029291,            0.018194,                   0,           0.0097426,           0.0097426,           0.0097426
                  28,            0.029754,            0.022888,                   0,             0.88931,             0.81541,             0.88693,             0.57869,            0.029392,            0.018078,                   0,           0.0097327,           0.0097327,           0.0097327
                  29,             0.02958,            0.022901,                   0,             0.89621,             0.81389,             0.88835,             0.58207,            0.029256,            0.018031,                   0,           0.0097228,           0.0097228,           0.0097228
                  30,            0.029781,            0.022937,                   0,             0.89188,             0.81909,             0.89017,             0.58201,            0.029084,            0.018054,                   0,           0.0097129,           0.0097129,           0.0097129
                  31,            0.029609,              0.0228,                   0,             0.89272,             0.82437,             0.89189,             0.58187,            0.029101,            0.017899,                   0,            0.009703,            0.009703,            0.009703
                  32,            0.029528,            0.022802,                   0,             0.87924,             0.82983,             0.88863,             0.58032,             0.02913,            0.018022,                   0,           0.0096931,           0.0096931,           0.0096931
                  33,            0.029422,            0.022597,                   0,             0.89064,             0.81932,             0.89161,             0.58405,            0.028974,            0.017921,                   0,           0.0096832,           0.0096832,           0.0096832
                  34,            0.029463,            0.022849,                   0,             0.89334,             0.82324,             0.89295,             0.58352,            0.028964,            0.017969,                   0,           0.0096733,           0.0096733,           0.0096733
                  35,              0.0296,            0.022911,                   0,             0.88654,             0.82437,             0.89057,              0.5814,            0.028903,            0.017956,                   0,           0.0096634,           0.0096634,           0.0096634
                  36,            0.029388,            0.022717,                   0,             0.88256,             0.82829,              0.8912,             0.58574,            0.028901,            0.017855,                   0,           0.0096535,           0.0096535,           0.0096535
                  37,            0.029346,            0.022678,                   0,             0.89148,             0.81489,             0.88729,             0.58366,            0.028853,            0.018127,                   0,           0.0096436,           0.0096436,           0.0096436
                  38,            0.029112,            0.022388,                   0,             0.88922,             0.82108,             0.88788,             0.58357,            0.028854,            0.018041,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.029596,             0.02314,                   0,             0.88844,             0.82939,             0.89301,             0.58503,            0.028796,            0.017837,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.029266,            0.022282,                   0,             0.88981,             0.82386,             0.89168,             0.58714,            0.028721,            0.017899,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.029231,            0.022615,                   0,             0.88108,              0.8311,             0.89281,             0.58608,            0.028688,            0.017899,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.029153,            0.022235,                   0,             0.88749,             0.82476,             0.89302,             0.58765,            0.028645,            0.017871,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.029191,            0.022452,                   0,             0.89214,             0.82324,             0.89257,             0.58761,            0.028586,            0.017904,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.028952,            0.022522,                   0,             0.89628,             0.81871,             0.89073,             0.58724,            0.028602,            0.017871,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.029235,            0.022589,                   0,             0.89212,             0.83311,              0.8973,             0.58904,            0.028576,            0.017698,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.028903,            0.022381,                   0,             0.89261,             0.82684,              0.8938,             0.58986,            0.028547,            0.017759,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.029242,            0.022444,                   0,             0.89401,             0.82241,             0.89424,             0.59118,            0.028507,            0.017787,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.028778,            0.022399,                   0,             0.88978,             0.82839,             0.89515,             0.59106,            0.028446,            0.017768,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,             0.02907,            0.022519,                   0,             0.89334,             0.82566,             0.89508,             0.58986,            0.028441,            0.017833,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,             0.02879,            0.022296,                   0,             0.88772,             0.83151,             0.89477,             0.59084,            0.028458,            0.017787,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.028909,            0.022153,                   0,             0.89206,             0.83258,             0.89493,             0.59264,            0.028369,            0.017678,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.028903,             0.02242,                   0,              0.8922,             0.83125,             0.89514,             0.59225,             0.02837,            0.017735,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.028944,            0.022292,                   0,             0.89621,             0.82804,             0.89619,             0.59291,            0.028343,             0.01771,                   0,           0.0094852,           0.0094852,           0.0094852
