               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058706,             0.02771,                   0,             0.92394,             0.83191,             0.89533,             0.49036,            0.027754,            0.014787,                   0,            0.070024,           0.0033306,           0.0033306
                   1,            0.040307,            0.021112,                   0,             0.93958,             0.85173,             0.91889,             0.54865,            0.024663,            0.013677,                   0,            0.040018,           0.0066574,           0.0066574
                   2,            0.036901,            0.020557,                   0,             0.94483,             0.85112,             0.91839,             0.57577,            0.023734,            0.013492,                   0,            0.010004,           0.0099775,           0.0099775
                   3,            0.034586,            0.020296,                   0,             0.94296,             0.86313,             0.92411,             0.58776,            0.022923,             0.01351,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.033098,            0.019465,                   0,             0.95012,              0.8711,             0.93373,             0.60782,            0.021994,            0.012821,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.032487,            0.019351,                   0,             0.94405,             0.88254,             0.93772,             0.61188,            0.021723,            0.012637,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.031971,            0.019092,                   0,              0.9485,             0.88313,             0.93923,               0.613,            0.021646,            0.012583,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.031454,            0.018762,                   0,             0.94953,             0.88537,             0.94142,             0.62268,            0.021289,            0.012405,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.031423,             0.01899,                   0,             0.95416,             0.88503,             0.94366,             0.62787,            0.021119,            0.012331,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.031109,            0.018558,                   0,             0.94939,             0.89084,             0.94538,             0.62928,            0.020985,            0.012264,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.031043,            0.018599,                   0,             0.94987,             0.89338,             0.94742,             0.63386,            0.020797,            0.012134,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.030902,            0.018609,                   0,             0.95017,             0.89647,             0.94818,             0.63532,            0.020776,            0.012139,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.030802,             0.01845,                   0,             0.95172,             0.89587,             0.94923,             0.63629,            0.020642,            0.012066,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.030675,            0.018506,                   0,              0.9536,             0.89614,             0.95021,             0.63917,             0.02056,            0.012027,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.030431,            0.018263,                   0,             0.94953,             0.90068,             0.95093,             0.64125,            0.020516,            0.011988,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.030548,            0.018452,                   0,             0.94966,             0.90202,             0.95185,             0.64048,            0.020472,             0.01199,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.030329,            0.018289,                   0,             0.95117,             0.90063,             0.95181,             0.64173,            0.020408,            0.011966,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.030331,            0.018281,                   0,             0.94999,             0.90385,             0.95309,             0.64365,            0.020334,            0.011928,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,            0.030236,            0.018236,                   0,             0.95068,             0.90345,             0.95245,               0.644,            0.020309,            0.011941,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.030156,            0.018291,                   0,             0.95092,             0.90437,             0.95349,             0.64582,            0.020254,            0.011906,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.030086,            0.018106,                   0,             0.95352,             0.90257,              0.9537,             0.64567,            0.020241,            0.011887,                   0,           0.0098119,           0.0098119,           0.0098119
